community_area_num,community_area,display_name,schools_mapped,buildings_with_status,underutilized_buildings,empty_seats_underutilized,health_centers_operating
1,ROGERS PARK,Rogers Park,7,6,3,1129,3
2,WEST RIDGE,West Ridge,9,9,0,,0
3,UPTOWN,Uptown,7,6,4,1412,0
4,LINCOLN SQUARE,Lincoln Square,6,5,0,,1
5,NORTH CENTER,North Center,6,6,0,,0
6,LAKE VIEW,Lake View,10,10,1,157,1
7,LINCOLN PARK,Lincoln Park,8,7,1,286,0
8,NEAR NORTH SIDE,Near North Side,7,6,2,977,0
9,EDISON PARK,Edison Park,3,1,0,,0
10,NORWOOD PARK,Norwood Park,8,7,0,,0
11,JEFFERSON PARK,Jefferson Park,2,2,0,,0
12,FOREST GLEN,Forest Glen,3,3,0,,0
13,NORTH PARK,North Park,6,4,0,,0
14,ALBANY PARK,Albany Park,8,6,1,508,2
15,PORTAGE PARK,Portage Park,9,7,1,550,0
16,IRVING PARK,Irving Park,11,9,2,1757,0
17,DUNNING,Dunning,6,5,0,,0
18,MONTCLARE,Montclare,1,1,0,,0
19,BELMONT CRAGIN,Belmont Cragin,16,12,4,1552,1
20,HERMOSA,Hermosa,5,4,3,704,0
21,AVONDALE,Avondale,7,4,2,720,0
22,LOGAN SQUARE,Logan Square,12,11,4,1781,1
23,HUMBOLDT PARK,Humboldt Park,17,11,5,1664,2
24,WEST TOWN,West Town,24,16,12,5071,1
25,AUSTIN,Austin,23,18,16,7230,0
26,WEST GARFIELD PARK,West Garfield Park,7,5,5,2332,0
27,EAST GARFIELD PARK,East Garfield Park,15,10,10,5087,0
28,NEAR WEST SIDE,Near West Side,20,12,7,3152,2
29,NORTH LAWNDALE,North Lawndale,20,12,12,5280,1
30,SOUTH LAWNDALE,South Lawndale,22,15,13,4829,2
31,LOWER WEST SIDE,Lower West Side,15,11,9,2556,2
32,LOOP,Loop,3,1,0,,0
33,NEAR SOUTH SIDE,Near South Side,4,2,1,639,1
34,ARMOUR SQUARE,Armour Square,3,3,1,541,0
35,DOUGLAS,Douglas,10,8,8,4885,3
36,OAKLAND,Oakland,2,1,1,180,0
37,FULLER PARK,Fuller Park,1,1,1,159,0
38,GRAND BOULEVARD,Grand Boulevard,7,5,4,1279,1
39,KENWOOD,Kenwood,6,5,3,856,0
40,WASHINGTON PARK,Washington Park,5,4,3,1089,0
41,HYDE PARK,Hyde Park,4,4,1,154,0
42,WOODLAWN,Woodlawn,7,6,4,1856,0
43,SOUTH SHORE,South Shore,12,8,5,1564,0
44,CHATHAM,Chatham,12,9,5,1223,0
45,AVALON PARK,Avalon Park,5,3,3,2595,1
46,SOUTH CHICAGO,South Chicago,10,5,5,1689,0
47,BURNSIDE,Burnside,1,1,1,182,0
48,CALUMET HEIGHTS,Calumet Heights,5,5,1,82,0
49,ROSELAND,Roseland,12,12,10,3844,0
50,PULLMAN,Pullman,7,5,4,1010,0
51,SOUTH DEERING,South Deering,3,3,2,459,0
52,EAST SIDE,East Side,6,6,2,656,0
53,WEST PULLMAN,West Pullman,9,7,5,1377,0
54,RIVERDALE,Riverdale,5,4,3,1156,1
55,HEGEWISCH,Hegewisch,2,2,0,,0
56,GARFIELD RIDGE,Garfield Ridge,6,5,1,251,1
57,ARCHER HEIGHTS,Archer Heights,5,2,0,,0
58,BRIGHTON PARK,Brighton Park,14,9,5,1674,2
59,MCKINLEY PARK,McKinley Park,5,3,3,719,0
60,BRIDGEPORT,Bridgeport,5,5,3,498,0
61,NEW CITY,New City,16,14,9,3732,0
62,WEST ELSDON,West Elsdon,3,3,1,605,0
63,GAGE PARK,Gage Park,14,10,4,1722,0
64,CLEARING,Clearing,5,4,1,540,0
65,WEST LAWN,West Lawn,5,5,1,559,0
66,CHICAGO LAWN,Chicago Lawn,10,7,2,659,1
67,WEST ENGLEWOOD,West Englewood,11,8,7,2091,0
68,ENGLEWOOD,Englewood,15,11,11,4374,1
69,GREATER GRAND CROSSING,Greater Grand Crossing,11,10,7,1871,1
70,ASHBURN,Ashburn,11,9,2,894,0
71,AUBURN GRESHAM,Auburn Gresham,13,9,9,2323,0
72,BEVERLY,Beverly,4,4,0,,0
73,WASHINGTON HEIGHTS,Washington Heights,11,9,7,2208,0
74,MOUNT GREENWOOD,Mount Greenwood,4,4,0,,0
75,MORGAN PARK,Morgan Park,7,4,1,147,0
76,OHARE,O'Hare,1,1,0,,0
77,EDGEWATER,Edgewater,5,4,1,742,1
