site_id,site_name,category,clinic_type,site_number,hours_of_operation,public_health_nursing,family_case_management,healthy_start_program,healthy_families_program,wic,address,zip,phone,phone_additional,fax,community,lat,lon,vintage,rows_updated,provenance,source
row-7brx~4mrw_vzna,Englewood MHC,mental_health,Mental Health Clinic,,Mon - Fri: 8:30 a.m. – 4:30 p.m.,,,,,,641 W. 63rd St,60621,312-747-7496,,,ENGLEWOOD,41.779692,-87.641428,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-bg56~ztiz_x9gb,Greater Grand/MID-South MHC,mental_health,Mental Health Clinic,,Mon - Fri: 8:30 a.m. – 4:30 p.m.,,,,,,4314 S. Cottage Grove,60653,312-747-0036,,,GRAND BOULEVARD,41.816326,-87.606847,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-f4fr_n7v9_6qjw,Greater Lawn MHC,mental_health,Mental Health Clinic,,Mon - Fri: 8:30 a.m. – 4:30 p.m.,,,,,,4150 W. 55th Street,60632,312-747-1020,,,WEST ELSDON,41.793275,-87.727664,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-urnv~bgy7_h5hw,Lawndale MHC,mental_health,Mental Health Clinic,,Mon - Fri: 8:30 a.m. – 4:30 p.m.,,,,,,1201 S. Campbell St,60608,312-746-5905,,,NEAR WEST SIDE,41.866456,-87.689014,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-wwgg_ebfd_9k84,North River MHC,mental_health,Mental Health Clinic,,Mon - Fri: 8:30 a.m. – 4:30 p.m.,,,,,,5801 N. Pulaski Road,60646,312-744-1906,,,NORTH PARK,41.985932,-87.728369,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-mbvh~nqnd~uiaq,Alivio Medical Center,wic,WIC Clinic,106,"Mon, Tues, Thurs & Fri: 8:00 a.m. - 4:30 p.m.; Wed: 10:30 a.m. - 7:00 p.m.",,,,,Y,2355 S. Western Ave.,60608,773-843-4220,773-650-1205,773-650-1232,LOWER WEST SIDE,41.848583,-87.685394,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-6nxp~e8xy~5ak5,Alivio Medical Center - Morgan,wic,WIC Clinic,,Mon - Fri: 8:30 a.m. – 2:00 p.m.,,,,,Y,966 W. 21st St.,60608,312-829-6838,,312-949-7625,LOWER WEST SIDE,41.85415,-87.653223,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-mjza.gvvd.mytb,"Asian Human Services Family Health Center, Inc.",wic,WIC Clinic,,"Mon, Wed, Thurs & Fri: 9:00 a.m. - 5:00 p.m.; Tues: 11:00 a.m. - 7:00 p.m.",,,,,Y,2424 W. Peterson Ave.,60659,773-761-2324,773-564-8114,773-761-0009,WEST RIDGE,41.990601,-87.690739,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-gfaa_z9a4~a9tx,Austin Clinic,wic,WIC Clinic,19,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,,,,Y,4909 W. Division St.,60651,312-746-4797,312-746-4796,312-746-4799,AUSTIN,41.902212,-87.748845,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-jx23~b2jb~qt46,Chicago Family Health Center,wic,WIC Clinic,33,Mon - Fri: 8:00 a.m. - 4:00 p.m.,,Y,,Y,Y,9119 S. Exchange Ave.,60617,"773-768-0373 ext. 1180, 1181, 1182",,773-768-5264,SOUTH CHICAGO,41.729457,-87.552478,Current as of June 2016,2017-08-03,sourced,"socrata_kcki-hnch@2026-09-14, socrata_igwz-8jzy@2026-09-09"
