name,cpl_location_id,address,zip,phone,email,website,service_hours,community,lat,lon,provenance,source
Albany Park,3,3401 W. Foster Ave.,60625,(773) 539-5450,albanypark@chipublib.org,https://www.chipublib.org/locations/3/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",NORTH PARK,41.975579,-87.713613,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Altgeld,4,955 E. 131st St.,60827,(312) 747-3270,altgeld@chipublib.org,https://www.chipublib.org/locations/4/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",RIVERDALE,41.657198,-87.598838,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Archer Heights,5,5055 S. Archer Ave.,60632,(312) 747-9241,archerheights@chipublib.org,https://www.chipublib.org/locations/5/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",ARCHER HEIGHTS,41.801108,-87.726484,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Austin,6,5615 W. Race Ave.,60644,(312) 746-5038,austin@chipublib.org,https://www.chipublib.org/locations/6/,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",AUSTIN,41.889173,-87.76582,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Austin-Irving,7,6100 W. Irving Park Rd.,60634,(312) 744-6222,austin-irving@chipublib.org,https://www.chipublib.org/locations/7/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",PORTAGE PARK,41.953123,-87.779285,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Avalon,8,8148 S. Stony Island Ave.,60617,(312) 747-5234,avalon@chipublib.org,https://www.chipublib.org/locations/8/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",AVALON PARK,41.746393,-87.586005,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Back of the Yards,9,2111 W. 47th St.,60609,(312) 747-9595,backoftheyards@chipublib.org,https://www.chipublib.org/locations/9/,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",NEW CITY,41.808384,-87.67757,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Beverly,10,1962 W. 95th St.,60643,(312) 747-9673,beverly@chipublib.org,https://www.chipublib.org/locations/10/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",BEVERLY,41.72119,-87.672146,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Bezazian,11,1226 W. Ainslie St.,60640,(312) 744-0019,bezazian@chipublib.org,https://www.chipublib.org/locations/11/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",UPTOWN,41.971551,-87.660953,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
Blackstone,12,4904 S. Lake Park Ave.,60615,(312) 747-0511,blackstone@chipublib.org,https://www.chipublib.org/locations/12/,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",KENWOOD,41.805493,-87.589237,sourced,"socrata_x8fc-8rcq@2026-09-13, socrata_igwz-8jzy@2026-09-09"
