name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
Albany Park,library_named,41.975473,-87.713852,23,6.1,79179,5150 N KIMBALL AVE,ALBANY PARK,1,11071.6,136,sourced,socrata_syp8-uezg@2026-09-13
Altgeld,largest_nearby,41.657821,-87.598582,72.3,62.3,806373,13064-13086 S ELLIS AVE,,0,6207.5,16,sourced,socrata_syp8-uezg@2026-09-13
Archer Heights,address_exact,41.800877,-87.726731,32.9,11.6,863905,5055 S ARCHER AVE,ARCHER HEIGHTS BRANCH LIBRARY,0,13451.4,86,sourced,socrata_syp8-uezg@2026-09-13
Austin,address_exact,41.889019,-87.765817,17.2,2.6,351473,5609-5615 W RACE AVE,AUSTIN,0,11071.9,35,sourced,socrata_syp8-uezg@2026-09-13
Austin-Irving,address_exact,41.953239,-87.779774,42.5,20.5,845893,6100-6114 W IRVING PARK RD,,0,9388.6,179,sourced,socrata_syp8-uezg@2026-09-13
Avalon,address_exact,41.746394,-87.586298,24.4,10.1,826025,8148 S STONY ISLAND AVE,AVALON,1,13361.5,96,sourced,socrata_syp8-uezg@2026-09-13
Back of the Yards,library_named,41.808886,-87.677651,56.1,44.2,878300,4650 S DAMEN AVE,BACK OF THE YARDS BRANCH LIBRARY,0,16229.1,65,sourced,socrata_syp8-uezg@2026-09-13
Beverly,address_exact,41.72138,-87.672294,24.4,6.1,888518,1962 W 95TH ST,BEVERLY BRANCH LIBRARY,0,17064.4,93,sourced,socrata_syp8-uezg@2026-09-13
Bezazian,library_named,41.971642,-87.660732,21,0.2,91306,4911 N MAGNOLIA AVE,BEZAZIAN,1,10404.6,77,sourced,socrata_syp8-uezg@2026-09-13
Blackstone,largest_nearby,41.806003,-87.589761,71.4,30.4,449484,4903 S LAKE PARK AVE,,0,30989.5,35,sourced,socrata_syp8-uezg@2026-09-13
Brainerd,address_exact,41.732515,-87.657732,7.8,0,815653,1348-1352 W 89TH ST,BRAINERD,1,7639.4,133,sourced,socrata_syp8-uezg@2026-09-13
Brighton Park,address_exact,41.815056,-87.703197,40.1,20.4,433640,4312-4314 S ARCHER AVE,BRIGHTON PARK,1,11082.5,154,sourced,socrata_syp8-uezg@2026-09-13
Bucktown-Wicker Park,address_exact,41.912552,-87.680309,21.9,2.5,298615,1701 N MILWAUKEE AVE,Bucktown-Wicker Park,1,8698.1,132,sourced,socrata_syp8-uezg@2026-09-13
Budlong Woods,address_exact,41.98337,-87.696426,37.6,22.6,815865,5630 N LINCOLN AVE,Budlong Wood Library Branch,1,13115.6,114,sourced,socrata_syp8-uezg@2026-09-13
Canaryville,address_exact,41.816479,-87.642598,15.2,1.9,837296,640-646 W 43RD ST,,0,5572.1,194,sourced,socrata_syp8-uezg@2026-09-13
Chicago Bee,address_exact,41.828012,-87.626206,28.3,5.2,420309,3647-3657 S STATE ST,CHICAGO BEE,0,8249.6,17,sourced,socrata_syp8-uezg@2026-09-13
Chicago Lawn,address_exact,41.781905,-87.703499,13.5,0,525224,6116-6120 S KEDZIE AVE,CHICAGO LAWN,2,10360.1,146,sourced,socrata_syp8-uezg@2026-09-13
