objectid,park,park_no,bldg_id,bldg_name,category,bldg_type,field_house_class,status,year_built,stories,building_sqft,owner,address,ward,community,lat,lon,provenance,source
1,GRANT (ULYSSES),24,0024-19,Buckingham North Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,300 S Columbus,42,LOOP,41.876782,-87.619283,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
2,GRANT (ULYSSES),24,0024-20,Fountain Cafe,other,CONCESSION,,ACTIVE,,1,,CPD,301 S Columbus Dr,42,LOOP,41.876792,-87.618668,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
3,GRANT (ULYSSES),24,0024-21,Buckingham South Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,300 S Columbus,42,LOOP,41.874828,-87.619241,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
4,GRANT (ULYSSES),24,0024-22,Buckingham South Concession,other,CONCESSION,,ACTIVE,,1,,CPD,300 S Columbus,42,LOOP,41.874817,-87.618617,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
5,GRANT (ULYSSES),24,0024-23,Queen's Landing Concession,other,CONCESSION,,ACTIVE,,1,,CPD,300 S Lake Shore Dr,42,LOOP,41.875432,-87.616403,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
6,WASHINGTON (HAROLD),494,0494-01,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,5,HYDE PARK,41.801005,-87.583448,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
7,LINCOLN (ABRAHAM),100,0100-82,Fullerton Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,43,LINCOLN PARK,41.927473,-87.631213,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
8,GRANT (ULYSSES),24,0024-16,Museum Campus Concession & Comfort Station,other,CONCESSION,,ACTIVE,,1,,CPD,Between Field Museum & Shedd Aquarium,4,NEAR SOUTH SIDE,41.866484,-87.614657,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
9,BURNHAM (DANIEL),27,0027-03,43rd Street Pedestrian Bridge,other,OTHER,,ACTIVE,,,,OTHER,,4,OAKLAND,41.817158,-87.595716,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
10,BURNHAM (DANIEL),27,0027-11,49th Street Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,,5,KENWOOD,41.806643,-87.585011,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
11,EDISON (THOMAS ALVA),62,0062-01,Edison Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1907,2,8955,CPD,6755 N NORTHWEST HWY,41,EDISON PARK,42.004063,-87.817614,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
12,GLADSTONE (WILLIAM),93,0093-01,Gladstone Park Fieldhouse,field_house,FIELDHOUSE C,C,ACTIVE,1930,1,3220,CPD,5421 N MENARD AVE,45,JEFFERSON PARK,41.979295,-87.772933,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
13,LA FOLLETTE (ROBERT),201,0201-02,La Follette Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1929,2,64955,CPD,1333 N LARAMIE AVE,37,AUSTIN,41.905009,-87.755058,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
14,COLUMBUS (CHRISTOPHER),209,0209-01,Columbus Park Refectory,other,HISTORIC,,ACTIVE,1922,2,21325,CPD,5701 W JACKSON BLVD,29,AUSTIN,41.876506,-87.768526,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
15,HORNER (HENRY),228,0228-02,Horner Park Fieldhouse,field_house,FIELDHOUSE A1,A1,ACTIVE,1956,2,41426,CPD,2741 W MONTROSE AVE,33,IRVING PARK,41.960588,-87.697682,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
16,PASTEUR (LOUIS),247,0247-01,Pasteur Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1956,1,,CPD,5825 S KOSTNER AVE,13,WEST ELSDON,41.787853,-87.731692,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
17,BEVERLY,254,0254-01,Beverly Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,,1,870,CPD,2460 W 102ND,19,BEVERLY,41.708222,-87.683669,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
18,COLE (NAT KING),270,0270-01,Cole Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1963,1,,CPD,8500 S DR MARTIN LUTHER KING JR DR,6,CHATHAM,41.739835,-87.615426,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
19,"KING (MARTIN LUTHER, JR.)",334,0334-01,King Family Entertainment Center,field_house,FIELDHOUSE AA,AA,ACTIVE,2005,1,35600,CPD,1219 W 76TH ST,17,AUBURN GRESHAM,41.755684,-87.654553,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
20,BRADLEY (JOSEPHINE),1004,1004-01,Bradley Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1958,1,,CPD,9727 S YATES AVE,10,SOUTH DEERING,41.718062,-87.564348,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
21,KENWOOD COMM.,1010,1010-01,Kenwood Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1950,1,,CPD,1330 E 50TH ST,4,KENWOOD,41.805632,-87.593321,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
22,BARRETT (JOHN),1022,1022-01,Barrett Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1907,1,,CPD,2008 W CERMAK RD,25,LOWER WEST SIDE,41.852436,-87.676314,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
23,GROSS (THEODORE),1031,1031-01,Gross Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1947,1,1805,CPD,2708 W LAWRENCE AVE,40,LINCOLN SQUARE,41.968693,-87.696668,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
24,KEDVALE,1039,1039-01,Kedvale Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1931,1,,CPD,4134 W HIRSCH ST,26,HUMBOLDT PARK,41.906383,-87.730433,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
25,MOORE (MAURICE),1050,1050-01,Moore Park Fieldhouse,field_house,FIELDHOUSE B,B,ACTIVE,1947,1,,CPD,5085 W ADAMS ST,28,AUSTIN,41.878067,-87.752741,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
26,MCKIERNAN (DAVID),1060,1060-01,McKiernan Park Fieldhouse,field_house,FIELDHOUSE D,D,ACTIVE,1953,1,1455,CPD,10714 S SAWYER AVE,19,MOUNT GREENWOOD,41.698361,-87.702477,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
28,WENTWORTH (JOHN),238,0238-03,Warming Hut,other,SHELTER,,ACTIVE,2013,1,,CPD,5626 S Mobile Ave,13,GARFIELD RIDGE,41.789696,-87.779941,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
29,HIAWATHA,229,0229-02,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,8000 W CORNELIA AVE,38,DUNNING,41.943297,-87.827023,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
30,METCALFE (RALPH),448,0448-01,Comfort Station,other,COMFORT STATION,,ACTIVE,,1,,CPD,4210 S STATE ST,3,GRAND BOULEVARD,41.817954,-87.626762,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
31,COTTON TAIL,480,0480-01,Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,3,NEAR SOUTH SIDE,41.862095,-87.628976,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
32,FOSTER (J. FRANK),26,0026-04,Southwest Shelter,other,SHELTER,,ACTIVE,,1,,CPD,,21,AUBURN GRESHAM,41.741713,-87.661047,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
33,LOYOLA,115,0115-06,Farwell Avenue Breakwater Light,other,HARBOR BUILDING,,ACTIVE,,,,CITY,,49,,42.006876,-87.655225,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
34,LINCOLN (ABRAHAM),100,0100-88,Wilson Avenue Breakwater Light,other,HARBOR BUILDING,,ACTIVE,,,,CITY,,46,UPTOWN,41.96867,-87.630993,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
35,LINCOLN (ABRAHAM),100,0100-89,Montrose Beach Light,other,HARBOR BUILDING,,ACTIVE,,,,CITY,,46,UPTOWN,41.965439,-87.6375,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
36,LINCOLN (ABRAHAM),100,0100-90,Belmont Harbor Inner Light,other,HARBOR BUILDING,,ACTIVE,,,,CITY,,44,LAKE VIEW,41.943049,-87.635764,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
37,LINCOLN (ABRAHAM),100,0100-91,North Avenue Jetty Light,other,HARBOR BUILDING,,ACTIVE,,,,CITY,,43,LINCOLN PARK,41.914588,-87.620215,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
38,JACKSON (ANDREW),19,0019-15,South Shore Yacht Club,other,YACHT CLUB,,ACTIVE,,,,OTHER,,5,WOODLAWN,41.7794,-87.579021,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
39,JACKSON (ANDREW),19,0019-24,Service Yard,other,MAINTENANCE,,ACTIVE,,,,CPD,1625 E HAYES DR,5,WOODLAWN,41.780183,-87.585344,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
40,JACKSON (ANDREW),19,0019-27,MSI - Henry Crown Space Center & Omnimax Theater,museum,MUSEUM,,ACTIVE,,,,OTHER,,5,HYDE PARK,41.790365,-87.581165,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
41,GRANT (ULYSSES),24,0024-25,Monroe Concession,other,CONCESSION,,ACTIVE,,1,,CPD,LSD & Monroe,42,LOOP,41.880768,-87.616937,sourced,"socrata_vcti-mbcd@2026-09-14, socrata_igwz-8jzy@2026-09-09"
