objectid,park,cpd_bldg_name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
1,GRANT (ULYSSES),Buckingham North Comfort Station,largest_nearby,41.877126,-87.618672,63.5,60.6,874133,,,0,304.9,2,sourced,socrata_syp8-uezg@2026-09-14
2,GRANT (ULYSSES),Fountain Cafe,largest_nearby,41.877126,-87.618672,37.1,34,874133,,,0,304.9,2,sourced,socrata_syp8-uezg@2026-09-14
3,GRANT (ULYSSES),Buckingham South Comfort Station,largest_nearby,41.874464,-87.618608,66.3,63.1,874135,,,0,282.5,2,sourced,socrata_syp8-uezg@2026-09-14
4,GRANT (ULYSSES),Buckingham South Concession,largest_nearby,41.874464,-87.618608,39.2,36.3,874135,,,0,282.5,2,sourced,socrata_syp8-uezg@2026-09-14
5,GRANT (ULYSSES),Queen's Landing Concession,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
6,WASHINGTON (HAROLD),Comfort Station,no_match,,,,,,,,,,0,sourced,socrata_syp8-uezg@2026-09-14
7,LINCOLN (ABRAHAM),Fullerton Comfort Station,largest_nearby,41.927092,-87.630656,62.6,24.4,254878,,LINCOLN PARK,0,26516,1,sourced,socrata_syp8-uezg@2026-09-14
8,GRANT (ULYSSES),Museum Campus Concession & Comfort Station,largest_nearby,41.866217,-87.617029,199.1,90.2,371641,1400 S LAKE SHORE DR,FIELD MUSEUM,1,245772.1,2,sourced,socrata_syp8-uezg@2026-09-14
9,BURNHAM (DANIEL),43rd Street Pedestrian Bridge,containing,41.817425,-87.595087,60.1,0,430566,,,0,5874.6,11,sourced,socrata_syp8-uezg@2026-09-14
10,BURNHAM (DANIEL),49th Street Comfort Station,containing,41.806616,-87.584978,4.1,0,448916,,,0,591.5,4,sourced,socrata_syp8-uezg@2026-09-14
11,EDISON (THOMAS ALVA),Edison Park Fieldhouse,address_exact,42.004051,-87.817589,2.5,0,17233,6755 N NORTHWEST HWY,,2,3408.8,104,sourced,socrata_syp8-uezg@2026-09-14
12,GLADSTONE (WILLIAM),Gladstone Park Fieldhouse,address_exact,41.979282,-87.772939,1.5,0,68442,5421 N MENARD AVE,,1,2232,190,sourced,socrata_syp8-uezg@2026-09-14
13,LA FOLLETTE (ROBERT),La Follette Park Fieldhouse,address_exact,41.904977,-87.755098,4.9,0,319537,1333 N LARAMIE AVE,,2,24289.5,92,sourced,socrata_syp8-uezg@2026-09-14
