site_name,sid,field,cps_value,idph_value,other_value,resolved,confidence,sources,accessed,note
Benito Juarez Community Academy High School,609764,operational_status,,,,operating,high,https://alivio.org/locations/,2026-09-12,Listed on the operator's current site.
Benito Juarez Community Academy High School,609764,phone,773-254-1400,773-579-2691,CPS 2025-26 booklet: 773-579-2691,773-579-2691,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,IDPH and the current CPS booklet agree on the site line; the uploaded CPS sheet carries Alivio's central number instead.
Benito Juarez Community Academy High School,609764,setting,in_building,in_building,Alivio: 'on-site' at all three schools,in_building,high,https://alivio.org/services/pediatrics/,2026-09-12,"Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.'"
Benito Juarez Community Academy High School,609764,site_address,1450 West Cermak Rd,2150 S. Laflin St.,Alivio publishes 1450 W Cermak Rd,1450 W Cermak Rd,high,https://alivio.org/locations/; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,Operator and current CPS booklet agree. Juarez occupies the block; Laflin St is a secondary frontage.
Charles P Steinmetz College Preparatory HS,609732,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Charles P Steinmetz College Preparatory HS,609732,sponsor,PCC Community Wellness Center,PCC Community Center Wellness,HRSA grantee: PCC COMMUNITY WELLNESS CENTER,PCC Community Wellness Center,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,IDPH has the words transposed. CPS booklet abbreviates the sponsor 'PCC CWC'.
Chicago Vocational Career Academy High School,609674,operational_status,,,,operating,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Listed in CPS's 2025-26 SBHC directory. CPS 2025-26 forms booklet p.11; note this directory covers only the 'Open to ALL CPS Students' subset, not all 33 SBHCs"
Chicago Vocational Career Academy High School,609674,phone,773-816-5081,773-768-5000,CPS 2025-26 booklet: 773-768-5000,773-768-5000,medium,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,"IDPH and the current CPS booklet agree; 773-768-5000 is Chicago Family Health Center's main line, so the site may also have a direct line that is no longer published."
Chicago Vocational Career Academy High School,609674,zip,60617,60616,CPS booklet: 60617,60617,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,IDPH ZIP is wrong.
David G Farragut Career Academy High School,609704,hours,Monday-Friday: 8:30am-5pm,,LCHC: Mon 8:30a-5:00p; Tue 8:30a-7:00p; Wed-Fri 8:30a-5:00p,Mon: 8:30am-5:00pm; Tue: 8:30am-7:00pm; Wed-Fri: 8:30am-5:00pm,high,https://lawndale.org/farragut-academy,2026-09-12,Both CPS sources miss the Tuesday evening extension to 7pm.
David G Farragut Career Academy High School,609704,hours_split,Monday-Friday: 8:30am-5pm,,,school_year: Mon: 8:30am-5:00pm; Tue: 8:30am-7:00pm; Wed-Fri: 8:30am-5:00pm,high,https://lawndale.org/farragut-academy,2026-09-12,School-year medical schedule. No summer or dental schedule published.
David G Farragut Career Academy High School,609704,operational_status,,,,operating,high,https://lawndale.org/farragut-academy,2026-09-12,Listed on the operator's current site.
David G Farragut Career Academy High School,609704,phone,872-588-3540,872-588-3000,CDPH 2014 and CPS booklet: 872-588-3540,872-588-3540,high,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,"IDPH carries LCHC's main switchboard, not the site line."
David G Farragut Career Academy High School,609704,room_or_entrance,,,,Entrance at 3256 W 24th St,high,https://lawndale.org/farragut-academy; https://340bopais.hrsa.gov/cedetails/19531,2026-09-12,LCHC states the clinic is within Farragut Career Academy; the 24th Street address is its own entrance on the school's south frontage.
David G Farragut Career Academy High School,609704,setting,in_building (school address),3256 W. 24th St. (separate street address),HRSA BPS-H80-001032 @ 3256 W 24th St,in_building,high,https://lawndale.org/farragut-academy; https://340bopais.hrsa.gov/cedetails/19531; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,LCHC states the clinic is 'located within Farragut Career Academy'. The 24th Street address is the clinic's own entrance on the school's south frontage.
David G Farragut Career Academy High School,609704,site_address,2345 S Christiana Ave,3256 W. 24th St.,HRSA and CDPH 2014 both use 3256 W 24th St,3256 W 24th St,high,https://lawndale.org/farragut-academy; https://340bopais.hrsa.gov/cedetails/19531; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,Clinic's own published address. School building address remains 2345 S Christiana Ave.
Englewood STEM High School,610592,hours,Mon-Fri: 8:00am-4:30pm,,CPS booklet: M-F 8:00a-4:30p; UIC OCEANHP: M-F 8:00am-4:00pm,Mon-Fri: 8:00am-4:30pm,medium,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/,2026-09-12,Two CPS sources agree on 4:30pm close; UIC's OCEANHP programme page says 4:00pm and appears to be the older of the two.
Englewood STEM High School,610592,hours_split,Mon-Fri: 8:00am-4:30pm,,,school_year: Mon-Fri: 8:00am-4:30pm,medium,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf; https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/englewood-stem; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/,2026-09-12,Two CPS sources agree on the 4:30pm close; UIC's OCEANHP page says 4:00pm and appears older. Mile Square publishes no separate summer window for this site.
Englewood STEM High School,610592,operational_status,,,,operating,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/englewood-stem,2026-09-12,Listed on the operator's current site.
Englewood STEM High School,610592,room_or_entrance,,,,Door 2,high,https://hospital.uillinois.edu/mile-square-health-center/care-at-mile-square/services/primary-and-pediatric-care,2026-09-12,Mile Square publishes the address as '6835 S. Normal Blvd. Door 2'.
Englewood STEM High School,610592,sponsor,UI Health,"Board of Trustees, U of I at Chicago",HRSA grantee: University of Illinois,UI Health Mile Square Health Center,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,"Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center."
Esperanza at Cultivate Collective,,hours,,,"Esperanza: Mon 7:30a-5:00p; Tue 7:30a-4:30p; Wed 7:30a-5:00p; Thu (1st & 3rd) 11:30a-6:30p; Thu (2nd, 4th, 5th) 7:30a-4:30p; Fri 7:30a-4:30p; 4th Sat 7:30a-3:30p","Mon: 7:30am-5:00pm; Tue: 7:30am-4:30pm; Wed: 7:30am-5:00pm; Thu (1st & 3rd): 11:30am-6:30pm; Thu (2nd, 4th, 5th): 7:30am-4:30pm; Fri: 7:30am-4:30pm; Sat (4th of month): 7:30am-3:30pm",high,https://www.esperanzachicago.org/location/esperanza-cultivate-collective,2026-09-12,Fills a null. Operator-published.
Esperanza at Cultivate Collective,,hours_split,,,,"school_year: Mon: 7:30am-5:00pm; Tue: 7:30am-4:30pm; Wed: 7:30am-5:00pm; Thu (1st & 3rd): 11:30am-6:30pm; Thu (2nd, 4th, 5th): 7:30am-4:30pm; Fri: 7:30am-4:30pm; Sat (4th of month): 7:30am-3:30pm",high,https://www.esperanzachicago.org/location/esperanza-cultivate-collective,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Esperanza at Cultivate Collective,,operational_status,,,,operating,high,https://www.esperanzachicago.org/location/esperanza-cultivate-collective,2026-09-12,Listed on the operator's current site.
Esperanza at Cultivate Collective,,school_name,not listed,not listed,HRSA setting 'School' @ 4350 S Laporte Ave,Academy for Global Citizenship,medium,https://www.esperanzachicago.org/location/esperanza-cultivate-collective; https://cultivate-collective.org/services/health-wellness,2026-09-12,"Resolves the 'host school unresolved' note. The clinic sits on the Cultivate Collective campus in LeClaire Courts, which Cultivate describes as an 'on-site Health Clinic operated by Esperanza Health Centers' serving 'community members and AGC students'. AGC = Academy for Global Citizenship, a CPS charter."
Esperanza at Cultivate Collective,,setting,,,"on-campus clinic, community-open FQHC",in_building,medium,https://cultivate-collective.org/services/health-wellness; https://www.esperanzachicago.org/location/esperanza-cultivate-collective,2026-09-12,"On-campus, but the clinic address (4350 S Laporte Ave) differs from Cultivate Collective's main address (4942 W 44th St), so building-level placement is not certain. Note this site is neither IDPH-certified nor in CPS's SBHC directory; it may not meet a strict SBHC definition."
George Washington Carver Military Academy HS,609760,access_text,Open to Enrolled Students at the School,,TCA: '(For Carver Students Only)',Open to enrolled students at the school,high,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,Operator confirms the restriction CPS records.
George Washington Carver Military Academy HS,609760,hours,Mon-Wed: 9:00am-1pm,,TCA: 9:00 am - 4:00 pm Mon/Tues/Wed/Thurs/Fri (Carver students only),Mon-Fri: 9:00am-4:00pm,medium,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,"Operator publishes a five-day 9-4 schedule against CPS's three-day 9-1. Large gap; operator page last dated 2023, so worth a phone confirm."
George Washington Carver Military Academy HS,609760,hours_split,Mon-Wed: 9:00am-1pm,,,school_year: Mon-Fri: 9:00am-4:00pm,high,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
George Washington Carver Military Academy HS,609760,operational_status,,,,operating,high,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,Listed on the operator's current site.
George Washington Carver Military Academy HS,609760,site_address,"13100 S Doty Ave, 60827","13100 Doty Rd., 60627-1597","TCA publishes 13100 S Doty Ave, 60827","13100 S Doty Ave, Chicago, IL 60827",high,https://tcahealth.org/carver-military-academy-school-based-health-center/,2026-09-12,IDPH has both the street type and the ZIP wrong (60627 vs 60827).
Greater Lawndale High School For Social Justice,610383,hours,Mon-Fri: 8:30am-12:00pm; 1:00pm-4:00pm,,findhelp listing claimed by Alivio (Feb 2026): Mon 8:30a-3:00p; Tue 8:30a-4:30p; Wed closed; Thu 9:30a-2:30p; Fri 8:30a-12:30p; closed 12-1p,,unresolved,https://alivio.org/locations/lawndale/; https://alivio.org/locations/,2026-09-12,NOT RESOLVED. A provider-claimed third-party listing shows a much narrower schedule including a Wednesday closure; Alivio's own site publishes no hours for this site. Left null; needs a phone confirm.
Greater Lawndale High School For Social Justice,610383,hours_split,Mon-Fri: 8:30am-12:00pm; 1:00pm-4:00pm,,,,unresolved,https://alivio.org/locations/lawndale/; https://alivio.org/locations/,2026-09-12,"Alivio publishes no hours for this site. A provider-claimed third-party listing shows a much narrower week including a Wednesday closure, against the CPS sheet's Mon-Fri split-shift value. Needs a phone confirm."
Greater Lawndale High School For Social Justice,610383,operational_status,,,,operating,high,https://alivio.org/locations/,2026-09-12,Listed on the operator's current site.
Greater Lawndale High School For Social Justice,610383,setting,in_building,in_building,Alivio: 'on-site' at all three schools,in_building,high,https://alivio.org/services/pediatrics/,2026-09-12,"Alivio: 'We also operate three school-based health centers, providing on-site, accessible health services to the students and community of Benito Juarez Community Academy, Orozco Community Academy, and Little Village Lawndale High School.'"
James Weldon Johnson STEAM Elementary School,610274,hours,Mon-Fri: 8:00am-4:30pm,,"Erie: M, T, Th, F 8:00 AM-4:30 PM; W 10:00 AM-4:30 PM","Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/johnson/,2026-09-12,Both CPS sources miss the Wednesday 10am open.
James Weldon Johnson STEAM Elementary School,610274,hours_split,Mon-Fri: 8:00am-4:30pm,,,"school_year: Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/johnson/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
James Weldon Johnson STEAM Elementary School,610274,operational_status,,,,operating,high,https://www.eriefamilyhealth.org/locations/johnson/,2026-09-12,Listed on the operator's current site.
James Weldon Johnson STEAM Elementary School,610274,setting,in_building,separate street address (1504 S. Albany Ave.),"Erie, CDPH 2014 and HRSA's coordinate all place the centre at 1504 S Albany",school_linked,high,https://www.eriefamilyhealth.org/locations/johnson/; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"CORRECTED from sbhc.csv's in_building. 1504 S Albany is a separate building from the Johnson school building at 1420 S Albany, confirmed by local knowledge on 2026-09-12. CPS publishes the school address for this centre in both the uploaded sheet and the 2025-26 booklet, which is what produced the bad in_building classification. coord_basis stays 'hrsa_site': the existing coordinate (41.861116, -87.703417) is the centre's own, not the school's, so the school_linked coordinate rule in test_sbhc.py passes unchanged. Note this row no longer needs to satisfy the in_building/sid rule."
James Weldon Johnson STEAM Elementary School,610274,site_address,1420 S Albany Ave,1504 S. Albany Ave.,CDPH 2014 and Erie both say 1504 S Albany,1504 S Albany Ave,medium,https://www.eriefamilyhealth.org/locations/johnson/; https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"Operator (Erie), IDPH and CDPH 2014 all say 1504 S Albany; HRSA's coordinate in sbhc.csv (41.8611) also matches 1504 rather than 1420. CPS gives 1420 S Albany in both the uploaded sheet and the 2025-26 booklet - that is the school building address."
James Weldon Johnson STEAM Elementary School,610274,sponsor,Erie Family Health Centers,Erie Family Health Center,HRSA grantee: ERIE FAMILY HEALTH CENTER,Erie Family Health Centers,high,https://www.eriefamilyhealth.org/locations/,2026-09-12,Operator uses the plural form; IDPH and HRSA carry the older singular.
John B Drake Elementary School,609894,access_text,Open to the Community: No Restrictions,,"UIC: 'Services are available to students, their families and the entire community'",Open to the community,high,https://nursing.uic.edu/news-stories/school-based-community-health-center-named-for-uic-nursing-alumna-opens,2026-09-12,Confirmed.
John B Drake Elementary School,609894,hours,Mon-Fri: 8:00am-4:00pm,,"Mile Square location page: school season M-F 8:30am-4:30pm, summer M-F 7am-3:30pm; UIC OCEANHP page: M-F 8:00am-4:00pm",,unresolved,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/barnes-boyd; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,NOT RESOLVED. UI Health's two own pages disagree with each other. CPS booklet and OCEANHP both say 8a-4p; the Mile Square location page says 8:30a-4:30p. Left null.
John B Drake Elementary School,609894,hours_split,Mon-Fri: 8:00am-4:00pm,,,summer: Mon-Fri: 7:00am-3:30pm (Jun 16 - Aug 8),medium,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/barnes-boyd; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,Summer window is unambiguous on the operator's location page. School-year hours stay empty: the Mile Square location page says 8:30am-4:30pm while UIC's OCEANHP page and the CPS booklet both say 8:00am-4:00pm. Splitting the field isolates the conflict to one cell instead of discarding the summer value with it.
John B Drake Elementary School,609894,operational_status,,,,operating,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/barnes-boyd,2026-09-12,Listed on the operator's current site.
John B Drake Elementary School,609894,phone,312-355-5746,312-355-5746,Mile Square location page and UIC OCEANHP both say 312.355.5745,,unresolved,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics/barnes-boyd; https://oceanhp.uic.edu/programs/community-health/mile-square-community-school-health-centers/; https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,"NOT RESOLVED. Both sheets and the CPS booklet say ...5746; both UI Health pages say ...5745. One digit apart, so a typo exists on one side. Left null."
John B Drake Elementary School,609894,sponsor,UI Health,"Board of Trustees, U of I at Chicago",HRSA grantee: University of Illinois,UI Health Mile Square Health Center,high,https://hospital.uillinois.edu/mile-square-health-center/locations/school-based-clinics,2026-09-12,"Not a true conflict: IDPH records the legal grantee, CPS the brand. The operating unit is UI Health Mile Square Health Center."
Joyce Kilmer International Academy,610022,operational_status,,,,operating,high,https://tap360health.org/location/,2026-09-12,Listed on the operator's current site.
Joyce Kilmer International Academy,610022,phone,773-366-7704,773-761-5309,Tapestry: 773-366-7704,773-366-7704,high,https://tap360health.org/location/,2026-09-12,IDPH lists the same number for Kilmer and Sullivan; both are wrong.
Joyce Kilmer International Academy,610022,room_or_entrance,,,,Room 109,high,https://tap360health.org/location/,2026-09-12,Published by Tapestry 360 Health.
Joyce Kilmer International Academy,610022,sponsor,Tapestry 360 Health,Heartland Health Center,HRSA grantee: TAPESTRY 360 HEALTH,Tapestry 360 Health,high,https://tap360health.org/new-name-same-quality-care/; https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/; https://tap360health.org/location/,2026-09-12,Heartland Health Centers rebranded as Tapestry 360 Health in Oct 2022. IDPH certified list still carries the pre-rename name. CPS sheet is correct.
Lake View High School,609719,hours_split,"Mon, Tue, Thur, Fri:  8:00am-4:30pm, Wed: 10:00am-4:30pm",,,"school_year: Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/lake-view/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Lake View High School,609719,operational_status,,,,operating,high,https://www.eriefamilyhealth.org/locations/lake-view/,2026-09-12,Listed on the operator's current site.
Lake View High School,609719,sponsor,Erie Family Health Centers,Erie Family Health Center,HRSA grantee: ERIE FAMILY HEALTH CENTER,Erie Family Health Centers,high,https://www.eriefamilyhealth.org/locations/,2026-09-12,Operator uses the plural form; IDPH and HRSA carry the older singular.
Laura S Ward Elementary School,610133,hours_split,"Mon,Tue,Thur, Fri: 8:00am-4:30pm, Wed:10:00am-4:30pm",,,"school_year: Mon, Tue, Thu, Fri: 8:00am-4:30pm; Wed: 10:00am-4:30pm",high,https://www.eriefamilyhealth.org/locations/westside/,2026-09-12,School-year medical schedule. No summer or dental schedule published.
Laura S Ward Elementary School,610133,operational_status,,,,operating,high,https://www.eriefamilyhealth.org/locations/westside/,2026-09-12,Listed on the operator's current site.
Laura S Ward Elementary School,610133,room_or_entrance,,,,Entrance on Ridgeway Ave,high,https://www.eriefamilyhealth.org/locations/westside/,2026-09-12,"Erie: health centre entrance on the west side of the building off Ridgeway, with its own parking."
