sid,name,match_quality,bldg_lat,bldg_lon,offset_m,edge_m,bldg_id,bldg_address,bldg_name,bldg_stories,footprint_area_sqft,candidates_in_range,provenance,source
400009,Academy for Global Citizenship Charter School,largest_nearby,41.812776,-87.748663,90.3,73.1,438228,4402-4406 S LAVERGNE AVE,,1,4297.1,4,sourced,socrata_syp8-uezg@2026-09-13
400011,Alain Locke Charter School,address_exact,41.877075,-87.705082,23,9.1,868894,3141 W JACKSON BLVD,,0,12143.7,44,sourced,socrata_syp8-uezg@2026-09-13
400021,Catalyst Elementary Charter School - Circle Rock,address_exact,41.882512,-87.76624,79.1,3.3,356747,5600-5608 W WASHINGTON BLVD,,3,37331,41,sourced,socrata_syp8-uezg@2026-09-13
400023,CICS - Avalon/South Shore,address_exact,41.742945,-87.587699,32.2,11.4,643248,1501 E 83RD PL,,0,10289.8,188,sourced,socrata_syp8-uezg@2026-09-13
400024,CICS - Basil,address_exact,41.794257,-87.669726,49.1,3.1,483342,1800-1824 W GARFIELD BLVD,,0,26121.8,156,sourced,socrata_syp8-uezg@2026-09-13
400025,CICS - Bucktown,address_exact,41.922508,-87.681104,23.5,2.5,853970,2235 N HAMILTON AVE,,0,7459.1,174,sourced,socrata_syp8-uezg@2026-09-13
400026,CICS - Loomis Primary,address_exact,41.720175,-87.656915,54.3,29.8,856678,9535 S LOOMIS ST,,0,23047.1,104,sourced,socrata_syp8-uezg@2026-09-13
400027,CICS - Irving Park,address_exact,41.950632,-87.710733,35,2.2,162321,3800-3820 N SPAULDING AVE,,0,28178.6,228,sourced,socrata_syp8-uezg@2026-09-13
400028,CICS - Prairie,largest_nearby,41.684441,-87.617669,65,3.5,782931,218-224 E KENSINGTON AVE,,0,25347.2,75,sourced,socrata_syp8-uezg@2026-09-13
400029,CICS - Washington Park,containing,41.784114,-87.621252,1.5,0,515668,120 E 61ST ST,,0,10937.6,57,sourced,socrata_syp8-uezg@2026-09-13
400030,CICS - West Belden,largest_nearby,41.922209,-87.776505,61.4,44.3,272543,2300-2306 N AUSTIN AVE,,0,21650.1,153,sourced,socrata_syp8-uezg@2026-09-13
400031,CICS - Wrightwood,address_exact,41.745029,-87.693236,63.8,9.9,636377,8130 S CALIFORNIA AVE,,2,23292.4,166,sourced,socrata_syp8-uezg@2026-09-13
400032,CICS - Ralph Ellison,address_exact,41.748125,-87.669116,30.7,13.5,624654,1817 W 80TH ST,,0,18218.1,145,sourced,socrata_syp8-uezg@2026-09-13
400033,CICS - Longwood,address_exact,41.720896,-87.655806,36.2,22.7,856673,1301-1315 W 95TH ST,,0,12344.2,104,sourced,socrata_syp8-uezg@2026-09-13
400034,CICS - Northtown,largest_nearby,41.989848,-87.728034,134.2,125.1,43569,3945 W PETERSON AVE,E89,0,3222.5,4,sourced,socrata_syp8-uezg@2026-09-13
400035,Chicago Math and Science Academy Charter School,largest_nearby,42.013731,-87.675222,84.7,13.9,5205,7202 N CLARK ST,,1,53988.5,81,sourced,socrata_syp8-uezg@2026-09-13
400039,Erie Elementary Charter School,address_exact,41.90674,-87.693942,35.1,3.1,315131,1405 N WASHTENAW AVE,,0,3961.8,161,sourced,socrata_syp8-uezg@2026-09-13
400044,KIPP Ascend Charter School,containing,41.858381,-87.720759,25.9,0,377952,1617 S AVERS AVE,,3,1913.5,72,sourced,socrata_syp8-uezg@2026-09-13
400046,L.E.A.R.N. - Romano Butler Campus,address_exact,41.867074,-87.710877,27.5,12.5,823053,1132-1136 S HOMAN AVE,,0,9376.9,46,sourced,socrata_syp8-uezg@2026-09-13
400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus,address_exact,41.87802,-87.698997,27.7,5.7,360874,206-212 S FRANCISCO AVE,,3,29839.5,109,sourced,socrata_syp8-uezg@2026-09-13
400048,L.E.A.R.N. - Excel Campus,containing,41.887328,-87.701884,15.6,0,881572,3005 W CARROLL AVE,,4,18006.9,62,sourced,socrata_syp8-uezg@2026-09-13
400049,Legacy Charter School,address_exact,41.856382,-87.708543,64.5,43.5,827294,3301-3325 W OGDEN AVE,CHICAGO POLICE DEPARTMENT 10TH DISTRICT STATION,0,23891.5,77,sourced,socrata_syp8-uezg@2026-09-13
400050,Namaste Charter School,address_exact,41.825734,-87.667463,22,0.4,423208,3737 S PAULINA ST,,0,8402.2,242,sourced,socrata_syp8-uezg@2026-09-13
400051,Noble - Noble College Prep,address_exact,41.900077,-87.662784,18.1,1.3,855983,1010 N NOBLE ST,,0,7777.7,99,sourced,socrata_syp8-uezg@2026-09-13
400052,Noble - Gary Comer College Prep,address_exact,41.765203,-87.604208,6.6,0,878813,7131 S SOUTH CHICAGO AVE,,1,3045.1,72,sourced,socrata_syp8-uezg@2026-09-13
400053,Noble - Golder College Prep,address_exact,41.895541,-87.664557,29.4,18.3,340517,1454 W SUPERIOR ST,,0,4220.4,183,sourced,socrata_syp8-uezg@2026-09-13
400054,Noble - Pritzker College Prep,address_exact,41.915084,-87.72949,54.7,30.2,860893,4111-4131 W CORTLAND ST,NOBLE - PRITZKER SCHOOL,0,11849.6,224,sourced,socrata_syp8-uezg@2026-09-13
400055,Noble - Rauner College Prep,address_exact,41.892256,-87.661234,36.3,14.3,346561,1337 W OHIO ST,,3,11151.4,154,sourced,socrata_syp8-uezg@2026-09-13
400056,Noble - Rowe-Clark Math and Science Academy,address_exact,41.895211,-87.718361,30.9,3.2,830974,3645 W CHICAGO AVE,LOUISE H LANDAU COMMUNITY HEALTH CENTER,0,22192.3,138,sourced,socrata_syp8-uezg@2026-09-13
400057,Noble - UIC College Prep,address_exact,41.865575,-87.675729,41.6,13.1,372584,1231 S DAMEN AVE,,0,29612,6,sourced,socrata_syp8-uezg@2026-09-13
400058,North Lawndale College Prep - Christiana,address_exact,41.858643,-87.708622,31.6,7.3,855245,1601-1625 S CHRISTIANA AVE,,0,31450.5,97,sourced,socrata_syp8-uezg@2026-09-13
400059,North Lawndale College Prep - Collins,largest_nearby,41.858643,-87.708622,123.6,75.9,855245,1601-1625 S CHRISTIANA AVE,,0,31450.5,88,sourced,socrata_syp8-uezg@2026-09-13
400060,Passages Charter School,address_exact,41.983174,-87.67125,23.1,4.5,853632,1643-1677 W BRYN MAWR AVE,PASSAGES SCHOOL,4,21282,204,sourced,socrata_syp8-uezg@2026-09-13
400061,Perspectives - Leadership Academy,address_exact,41.73886,-87.626882,32.6,0,655947,8522 S LAFAYETTE AVE,,0,194200.8,1,sourced,socrata_syp8-uezg@2026-09-13
400062,Perspectives - High School of Technology,largest_nearby,41.73886,-87.626882,151.8,79,655947,8522 S LAFAYETTE AVE,,0,194200.8,4,sourced,socrata_syp8-uezg@2026-09-13
400064,Perspectives - Rodney D. Joslin,address_exact,41.856331,-87.628326,40.6,11.6,826636,1930 S ARCHER AVE,PERSPECTIVES CHARTER,0,18148.5,34,sourced,socrata_syp8-uezg@2026-09-13
400066,Perspectives - Math and Science Academy,address_exact,41.828521,-87.624416,87.5,20.3,419758,3633-3663 S WABASH AVE,RAYMOND PUBLIC SCHOOL,0,31976,54,sourced,socrata_syp8-uezg@2026-09-13
400069,Polaris Charter Academy,address_exact,41.892367,-87.708039,28.7,2,346524,620 N SAWYER AVE,,0,29397.5,94,sourced,socrata_syp8-uezg@2026-09-13
400071,Providence Englewood Charter School,address_exact,41.775231,-87.663652,32.3,7.9,546627,6515 S ASHLAND AVE,,1,21804.8,96,sourced,socrata_syp8-uezg@2026-09-13
400075,University of Chicago - Donoghue,address_exact,41.827154,-87.608067,73,10.8,420533,707 E 37TH ST,,0,46032.4,17,sourced,socrata_syp8-uezg@2026-09-13
400076,University of Chicago - North Kenwood/Oakland,containing,41.811032,-87.598806,16.8,0,439571,4615 S GREENWOOD AVE,,0,17191.9,99,sourced,socrata_syp8-uezg@2026-09-13
400077,University of Chicago - Woodlawn,largest_nearby,41.780295,-87.596451,78.3,62.2,528871,1167-1169 E 63RD ST,,3,8320.5,25,sourced,socrata_syp8-uezg@2026-09-13
400079,Acero Charter Schools - SPC Daniel Zizumbo,largest_nearby,41.809352,-87.730796,90.5,67.7,444832,4248 W 47TH ST,,3,62593.6,16,sourced,socrata_syp8-uezg@2026-09-13
400080,Acero Charter Schools - PFC Omar E. Torres,address_exact,41.809352,-87.730796,131.2,8.2,444832,4248 W 47TH ST,,3,62593.6,87,sourced,socrata_syp8-uezg@2026-09-13
400085,Acero Charter Schools - Major Hector P. Garcia MD,address_exact,41.809352,-87.730796,34,9,444832,4248 W 47TH ST,,3,62593.6,38,sourced,socrata_syp8-uezg@2026-09-13
400086,Urban Prep Academy for Young Men Charter School,address_exact,41.782064,-87.634324,62.9,23.4,522470,6201 S STEWART AVE,,3,99004.2,22,sourced,socrata_syp8-uezg@2026-09-13
400089,Acero Charter Schools - Officer Donald J. Marquez,address_exact,41.808576,-87.696937,48.1,13,445963,2916 W 47TH ST,,4,15620.5,99,sourced,socrata_syp8-uezg@2026-09-13
400091,Chicago Technology Academy High School,address_exact,41.863104,-87.65991,71.1,11.3,374420,1301 W 14TH ST,,0,28269.9,22,sourced,socrata_syp8-uezg@2026-09-13
400092,CICS - Lloyd Bond,address_exact,41.65314,-87.60552,70.6,33.9,809039,13300 S LANGLEY AVE,OUR LADY OF THE GARDENS CHURCH/SCHOOL,0,17653.8,23,sourced,socrata_syp8-uezg@2026-09-13
400096,Rowe Elementary Charter School,address_exact,41.90779,-87.664637,46.9,30.7,311654,1424 N CLEAVER ST,,2,23226,120,sourced,socrata_syp8-uezg@2026-09-13
400097,Noble - Chicago Bulls College Prep,address_exact,41.879092,-87.67842,36.6,9.7,359125,2040 W ADAMS ST,,0,36454.5,35,sourced,socrata_syp8-uezg@2026-09-13
400098,Noble - Muchin College Prep,address_exact,41.882381,-87.62722,83.4,52.3,868627,1-15 N STATE ST,,0,27132.7,24,sourced,socrata_syp8-uezg@2026-09-13
400104,Instituto Health Sciences Career Academy,containing,41.84615,-87.68706,25.2,0,394531,2429 W 25TH ST,,0,56248.1,31,sourced,socrata_syp8-uezg@2026-09-13
400105,URBAN PREP - BRONZEVILLE HS,no_point,,,,,,,,,,0,no_coordinate,socrata_syp8-uezg@2026-09-13
400106,Noble - John and Eunice Johnson College Prep,address_exact,41.778349,-87.635431,26.2,9.8,533824,6310-6350 S STEWART AVE,REED SCHOOL,3,30853.8,26,sourced,socrata_syp8-uezg@2026-09-13
400107,L.E.A.R.N. - South Chicago Campus,address_exact,41.733257,-87.544862,60.3,43.7,673451,8914 S BUFFALO AVE,,0,40540.5,65,sourced,socrata_syp8-uezg@2026-09-13
400111,L.E.A.R.N. - Hunter Perkins Campus,address_exact,41.74326,-87.666534,69.3,38.8,644274,1700-1724 W 83RD ST,TIMOTHY LUTHERAN SCHOOL,0,11044.4,200,sourced,socrata_syp8-uezg@2026-09-13
400112,Acero Charter Schools - Jovita Idar,address_exact,41.8011,-87.709266,39.5,27.7,894356,5050 S HOMAN AVE,UNO ELEMENTARY HIGH SCHOOL,3,27930.9,106,sourced,socrata_syp8-uezg@2026-09-13
400115,Catalyst - Maria Charter School,address_exact,41.771456,-87.692556,66.9,33.2,560685,6701-6727 S CALIFORNIA AVE,,0,62336.5,19,sourced,socrata_syp8-uezg@2026-09-13
400116,The Montessori School of Englewood Charter,address_exact,41.76744,-87.667912,23.4,6.2,569638,6936 S HERMITAGE AVE,,3,21005.6,113,sourced,socrata_syp8-uezg@2026-09-13
400117,Noble - Hansberry College Prep,address_exact,41.73442,-87.651311,27,11.6,672628,8748 S ABERDEEN ST,,0,15181.2,160,sourced,socrata_syp8-uezg@2026-09-13
400118,Noble - DRW College Prep,largest_nearby,41.869731,-87.711941,50.7,30.3,888398,3415 W ARTHINGTON ST,,3,17134.3,43,sourced,socrata_syp8-uezg@2026-09-13
400119,Legal Prep Charter Academy,address_exact,41.881442,-87.733777,32.3,0,357469,4313-4319 W WASHINGTON BLVD,,0,14301.1,79,sourced,socrata_syp8-uezg@2026-09-13
400120,Acero Charter Schools - Roberto Clemente,largest_nearby,41.917575,-87.788739,86.3,62.7,286673,2020-2030 N NATCHEZ AVE,,2,35825.4,95,sourced,socrata_syp8-uezg@2026-09-13
400123,YCCS- Academy of Scholastic Achievement HS,address_exact,41.880032,-87.742274,51,19.1,873588,4649-4651 W MADISON ST,,0,4327.3,73,sourced,socrata_syp8-uezg@2026-09-13
400124,YCCS- McKinley Lakeside Leadership HS,address_exact,41.841217,-87.625826,43,4.8,400423,2900-2920 S WABASH AVE,ST. JAMES R.C. SCHOOL,0,19787.6,10,sourced,socrata_syp8-uezg@2026-09-13
