sid,name,layer,governance,school_type,grades,community,address,lat,lon,provenance,source
400009,Academy for Global Citizenship Charter School,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",GARFIELD RIDGE,"4942 W 44TH St, Chicago, IL 60638-1959",41.81342,-87.748,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400153,Acero Charter Schools - Brighton Park,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",BRIGHTON PARK,"4420 S FAIRFIELD Ave, Chicago, IL 60632-1937",41.813109,-87.693238,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400112,Acero Charter Schools - Jovita Idar,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",GAGE PARK,"5050 S HOMAN Ave, Chicago, IL 60632",41.801042,-87.708797,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400089,Acero Charter Schools - Officer Donald J. Marquez,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",BRIGHTON PARK,"2916 W 47TH St, Chicago, IL 60632",41.808309,-87.697394,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400080,Acero Charter Schools - PFC Omar E. Torres,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",ARCHER HEIGHTS,"4248 W 47TH St, Chicago, IL 60632",41.8082,-87.73045,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400120,Acero Charter Schools - Roberto Clemente,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",BELMONT CRAGIN,"2050 N NATCHEZ Ave, Chicago, IL 60707",41.917952,-87.78783,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400079,Acero Charter Schools - SPC Daniel Zizumbo,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",ARCHER HEIGHTS,"4248 W 47TH St, Chicago, IL 60632",41.810135,-87.730495,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400011,Alain Locke Charter School,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",EAST GARFIELD PARK,"3141 W JACKSON Blvd, Chicago, IL 60612",41.877248,-87.705235,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400023,CICS - Avalon/South Shore,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",AVALON PARK,"1501 E 83RD Pl, Chicago, IL 60619",41.743179,-87.587928,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400024,CICS - Basil,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",NEW CITY,"1816 W GARFIELD Blvd, Chicago, IL 60609",41.794043,-87.670243,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400025,CICS - Bucktown,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",LOGAN SQUARE,"2235 N HAMILTON Ave, Chicago, IL 60647",41.922415,-87.681358,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400027,CICS - Irving Park,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",IRVING PARK,"3820 N SPAULDING Ave, Chicago, IL 60618",41.950891,-87.710492,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400092,CICS - Lloyd Bond,charter_elem,Charter,Charter,"K,1,2,3,4,5,6",RIVERDALE,"13300 S LANGLEY Ave, Chicago, IL 60827",41.653663,-87.605039,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400026,CICS - Loomis Primary,charter_elem,Charter,Charter,"K,1,2,3",WASHINGTON HEIGHTS,"9535 S LOOMIS St, Chicago, IL 60643",41.720246,-87.657561,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400028,CICS - Prairie,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",WEST PULLMAN,"11530 S PRAIRIE Ave, Chicago, IL 60628",41.684433,-87.616888,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
400029,CICS - Washington Park,charter_elem,Charter,Charter,"K,1,2,3,4,5,6,7,8",WASHINGTON PARK,"110 E 61ST St, Chicago, IL 60637",41.784126,-87.621261,sourced,cps_school_profiles@2026-09-09+socrata_pb6d-zzuh@2026-09-09+socrata_igwz-8jzy@2026-09-09
