site_id,site_name,program,hours_of_operation,address,zip,phone,community,lat,lon,vintage,rows_updated,provenance,source
row-zhhi_5qr4~ppw3,Abbott Park,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,49 East 95th Street,60619,312-745-3493,ROSELAND,41.721659,-87.622362,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-ih76_b7ti_9eq4,Auburn Gresham,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,1040 W. 79th Street,60620,312-745-4798,AUBURN GRESHAM,41.750577,-87.650291,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-ps2q-emmh~ghyr,Austin,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,5071 W. Congress Parkway,60644,312-743-1538,AUSTIN,41.873934,-87.752052,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-hu5s-6pm5.qhb2,Central West,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,2102 W. Ogden Avenue,60612,312-746-5300,NEAR WEST SIDE,41.871043,-87.678598,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-9w5r-dtey.6n7v,Chatham,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,8300 S. Cottage Grove Avenue,60619,312-745-0385,CHATHAM,41.743344,-87.605539,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-bkh8-5zku.k6sd,Edgewater,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,5917 N. Broadway Street,60660,312-742-5323,EDGEWATER,41.989483,-87.660143,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-2hu7_b6k6.76m4,Englewood,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,653-657 W. 63rd Street,60621,312-745-3328,ENGLEWOOD,41.779925,-87.633083,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-gbc2~7ue7-ftz8,Garfield Ridge,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,5674-B S. Archer Avenue,60638,312-745-4250,GARFIELD RIDGE,41.797226,-87.753155,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-gpea.epjf~wxie,Kelvyn Park,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,2715 N. Cicero Avenue,60639,312-744-4016,BELMONT CRAGIN,41.929908,-87.746067,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-y8bu.t9yi.p8wn,North Center,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,4040 N. Oakley Avenue,60618,312-745-4029,NORTH CENTER,41.95485,-87.686088,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-8gsy.g5ds-tdwi,Northeast,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,2019 W. Lawrence Avenue,60625,312-744-0784,LINCOLN SQUARE,41.968723,-87.680192,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-6ey7.yyr3.iayi,Northwest,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,3160 N. Milwaukee Avenue,60618,312-744-6681,AVONDALE,41.938369,-87.722688,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-bc9k_jef8-p7tg,Norwood Park,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,5801 N. Natoma Avenue,60631,312-744-4016,NORWOOD PARK,41.986532,-87.794123,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-gezr.auz6_9j58,Pilsen,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,2021 S. Morgan Street,60608,312-743-0493,LOWER WEST SIDE,41.855146,-87.651544,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-nmki.e9zc-27be,Portage Park,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,4100 N. Long Avenue,60641,312-744-9022,PORTAGE PARK,41.954976,-87.762102,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-9bwh.t77j_6f5t,Renaissance Court,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,78 E. Washington Street,60602,312-744-4550,LOOP,41.883854,-87.624955,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-qy3v.qdc5.asbn,Roseland,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,10426 S. Michigan Ave.,60628,312-745-1500,ROSELAND,41.704397,-87.621187,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-fwsg_agga_5f87,South Chicago,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,9233 S. Burley,60617,312-745-1282,SOUTH CHICAGO,41.727693,-87.545506,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-jhe2-rs5e~amh2,Southeast,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat - Sun 9:00 a.m. to 4:00 p.m,1767 E. 79th Street,60649,312-747-0189,SOUTH CHICAGO,41.751513,-87.581983,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-ea3b~fqvj_6cec,Southwest,Regional Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.,6117 S. Kedzie Avenue,60629,312-747-0440,CHICAGO LAWN,41.78213,-87.703198,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
row-id9w~n5eb_rc5m,West Town,Satellite Senior Center,Mon - Fri 8:30 a.m. to 4:30 p.m.,1613 W. Chicago Avenue,60622,312-743-1016,WEST TOWN,41.895752,-87.668267,Current as of 2011,2019-03-07,sourced,"socrata_qhfc-4cw2@2026-09-14, socrata_igwz-8jzy@2026-09-09"
