sid,school_year,grade_category,enrollment_profile,enrollment_20th_day,enrollment_utilization,homerooms,ideal_capacity,adj_ideal_capacity,su_pct,cps_status,classrooms_supply,classrooms_modular,classrooms_leased,classrooms_demand,source
400044,SY2026,ES,766,358,358,14,420,392,0.91,Efficient,20,0,0,19,cps_space_utilization_sy2026@2026-09-09
400052,SY2026,ES,1132,245,245,13,364,364,0.67,Underutilized,17,0,0,17,cps_space_utilization_sy2026@2026-09-09
400076,SY2026,ES,309,303,303,11,336,308,0.98,Efficient,16,0,0,15,cps_space_utilization_sy2026@2026-09-09
400096,SY2026,ES,470,313,313,20,616,560,0.56,Underutilized,29.5,0,0,27,cps_space_utilization_sy2026@2026-09-09
400105,SY2026,HS,,114,114,21.6,768,648,0.18,Underutilized,32,0,0,27,cps_space_utilization_sy2026@2026-09-09
400107,SY2026,ES,403,390,390,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
400146,SY2026,ES,650,357,357,14,448,392,0.91,Efficient,21.5,0,0,19,cps_space_utilization_sy2026@2026-09-09
400156,SY2026,HS,732,734,734,18.4,600,552,1.33,Overcrowded,25,0,0,23,cps_space_utilization_sy2026@2026-09-09
400157,SY2026,HS,441,285,285,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
400180,SY2026,ES,952,1020,1020,,,,,,,,,,cps_space_utilization_sy2026@2026-09-09
609674,SY2026,HS,467,590,519,79.2,2748,2376,0.22,Underutilized,114.5,0,0,99,cps_space_utilization_sy2026@2026-09-09
609676,SY2026,HS,301,314,303,54.4,1836,1632,0.19,Underutilized,76.5,0,0,68,cps_space_utilization_sy2026@2026-09-09
609678,SY2026,HS,1888,1914,1864,57.6,1896,1728,1.08,Efficient,79,0,0,72,cps_space_utilization_sy2026@2026-09-09
609679,SY2026,HS,1151,1190,1159,32.8,1176,984,1.18,Overcrowded,49,0.5,0,41,cps_space_utilization_sy2026@2026-09-09
609680,SY2026,HS,1252,1261,1242,36,1212,1080,1.15,Overcrowded,50.5,0,0,45,cps_space_utilization_sy2026@2026-09-09
609682,SY2026,HS,265,296,296,20.8,792,624,0.47,Underutilized,33,0,0,26,cps_space_utilization_sy2026@2026-09-09
609691,SY2026,HS,931,926,880,36,1224,1080,0.81,Efficient,51,0,0,45,cps_space_utilization_sy2026@2026-09-09
609692,SY2026,HS,1337,1090,1043,47.2,1524,1416,0.74,Efficient,63.5,0,0,59,cps_space_utilization_sy2026@2026-09-09
609693,SY2026,HS,1247,1202,1156,37.6,1224,1128,1.02,Efficient,51,0,0,47,cps_space_utilization_sy2026@2026-09-09
609694,SY2026,HS,1068,1049,1036,41.6,1284,1248,0.83,Efficient,53.5,0,0,52,cps_space_utilization_sy2026@2026-09-09
609695,SY2026,HS,1449,1441,1419,34.4,1140,1032,1.38,Overcrowded,47.5,0,0,43,cps_space_utilization_sy2026@2026-09-09
