source_key,file,requested_url,final_url,content_type,bytes
340b_hope,340b_hope.html,https://340bopais.hrsa.gov/cedetails/27228,https://340bopais.hrsa.gov/cedetails/27228,text/html; charset=utf-8,27922
340b_lchc,340b_lchc.html,https://340bopais.hrsa.gov/cedetails/19531,https://340bopais.hrsa.gov/cedetails/19531,text/html; charset=utf-8,27927
340b_uplift,340b_uplift.html,https://340bopais.hrsa.gov/cedetails/21948,https://340bopais.hrsa.gov/cedetails/21948,text/html; charset=utf-8,27897
alivio_loc,alivio_loc.html,https://alivio.org/locations/,https://alivio.org/locations/,text/html; charset=UTF-8,110600
alivio_lvlhs,alivio_lvlhs.html,https://alivio.org/locations/lawndale/,https://alivio.org/locations/lawndale/,text/html; charset=UTF-8,101238
alivio_peds,alivio_peds.html,https://alivio.org/services/pediatrics/,https://alivio.org/services/pediatrics/,text/html; charset=UTF-8,135248
blockclub,blockclub.html,https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/,https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/,text/html; charset=UTF-8,348621
cdph2014,cdph2014.csv,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,text/csv; charset=utf-8,18862
cps_booklet,cps_booklet.pdf,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,application/pdf,4546381
cps_resources,cps_resources.html,https://www.cps.edu/services-and-supports/health-and-wellness/health-resources/,https://www.cps.edu/services-and-supports/health-and-wellness/health-resources/,text/html; charset=utf-8,397230
cps_staff,cps_staff.html,https://www.cps.edu/strategic-initiatives/healthy-cps/staff/,https://www.cps.edu/strategic-initiatives/healthy-cps/staff/,text/html; charset=utf-8,426919
cult_hw,cult_hw.html,https://cultivate-collective.org/services/health-wellness,https://cultivate-collective.org/services/health-wellness,text/html; charset=UTF-8,236712
erie_amun,erie_amun.html,https://www.eriefamilyhealth.org/locations/amundsen/,https://www.eriefamilyhealth.org/locations/amundsen/,text/html; charset=UTF-8,188315
erie_clem,erie_clem.html,https://www.eriefamilyhealth.org/locations/clemente/,https://www.eriefamilyhealth.org/locations/clemente/,text/html; charset=UTF-8,188480
erie_john,erie_john.html,https://www.eriefamilyhealth.org/locations/johnson/,https://www.eriefamilyhealth.org/locations/johnson/,text/html; charset=UTF-8,189931
