source_key,requested_url,final_url,accessed,content_type,bytes,sha256,note
340b_hope,https://340bopais.hrsa.gov/cedetails/27228,https://340bopais.hrsa.gov/cedetails/27228,2026-09-12,text/html; charset=utf-8,27922,b367589effa61f8359571fdef2c2e13ff98498efc2e95433a8da0839022deab6,
340b_lchc,https://340bopais.hrsa.gov/cedetails/19531,https://340bopais.hrsa.gov/cedetails/19531,2026-09-12,text/html; charset=utf-8,27927,f563270ddccef4fd17d63cfb62679114bb55980ab1e67d331217b43326250da2,
340b_uplift,https://340bopais.hrsa.gov/cedetails/21948,https://340bopais.hrsa.gov/cedetails/21948,2026-09-12,text/html; charset=utf-8,27897,8fd17d5a31d717eecb6ff78d077127ed6aff41b668ef87619fdf17d2ecfb703b,
alivio_loc,https://alivio.org/locations/,https://alivio.org/locations/,2026-09-12,text/html; charset=UTF-8,110600,21c0656a6b48941001eb024c6e2e77ec74844489557cd010571d8cf412c3f5a8,
alivio_lvlhs,https://alivio.org/locations/lawndale/,https://alivio.org/locations/lawndale/,2026-09-12,text/html; charset=UTF-8,101238,d40e6fc93ea9fc0d4d7e5b869eb036524aa7a9fed3ecbe3d4c6b9e5d768ef5d4,
alivio_peds,https://alivio.org/services/pediatrics/,https://alivio.org/services/pediatrics/,2026-09-12,text/html; charset=UTF-8,135248,3b026e3fd092d717635645e59d5e1f75bf323c152833f549265e0144c14c55e4,
blockclub,https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/,https://blockclubchicago.org/2022/10/13/heartland-health-centers-renamed-tapestry-360-health-to-avoid-confusion-with-former-sister-agency/,2026-09-12,text/html; charset=UTF-8,348621,a131885119f6173f67327659b67e57121712e3104cb5a4872ed6a7352257f98e,
cdph2014,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,https://data.cityofchicago.org/api/views/cjg8-dbka/rows.csv?accessType=DOWNLOAD,2026-09-12,text/csv; charset=utf-8,18862,1f401ddf44e7c067860dacc711b52fe75516194bc3ca63d5390d4aca096753ff,
cps_booklet,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,https://www.cps.edu/globalassets/cps-pages/sites/back-to-school/student-health-and-school-forms-booklet-english-25-26.pdf,2026-09-12,application/pdf,4546381,4567d1baa2960cc46ff50191c3e8010746595fca5de4b8853fc15ff039979437,
cps_resources,https://www.cps.edu/services-and-supports/health-and-wellness/health-resources/,https://www.cps.edu/services-and-supports/health-and-wellness/health-resources/,2026-09-12,text/html; charset=utf-8,397230,0e6a1c3a1e46288d06fb6337f95a5257986f451336c53d3c4c4ee903beedfab2,
cps_staff,https://www.cps.edu/strategic-initiatives/healthy-cps/staff/,https://www.cps.edu/strategic-initiatives/healthy-cps/staff/,2026-09-12,text/html; charset=utf-8,426919,69d7b5a41a70b4227cf392e8eb30ac70bb395ee4c359c733b310dd90dd8ac96e,
cult_hw,https://cultivate-collective.org/services/health-wellness,https://cultivate-collective.org/services/health-wellness,2026-09-12,text/html; charset=UTF-8,236712,6331a7b96f3caf0717d9ef50dddc9373b3abfa82ad02901add00f40072626969,
erie_amun,https://www.eriefamilyhealth.org/locations/amundsen/,https://www.eriefamilyhealth.org/locations/amundsen/,2026-09-12,text/html; charset=UTF-8,188315,5a31b9fc296f66e52bf8db5ec2ebde5023c83a95a5a08f14104b3a9000acf1d1,
erie_clem,https://www.eriefamilyhealth.org/locations/clemente/,https://www.eriefamilyhealth.org/locations/clemente/,2026-09-12,text/html; charset=UTF-8,188480,e5ae52c2dd556a323069ae57e82560da04454d2b734e08fff797193cd17e0f52,
erie_john,https://www.eriefamilyhealth.org/locations/johnson/,https://www.eriefamilyhealth.org/locations/johnson/,2026-09-12,text/html; charset=UTF-8,189931,0c2d073baee67bfdf7fef5f4837008107c71f176c4cc5144e7f526437a43c482,
erie_lkvw,https://www.eriefamilyhealth.org/locations/lake-view/,https://www.eriefamilyhealth.org/locations/lake-view/,2026-09-12,text/html; charset=UTF-8,188468,1c2ee680fe345ae086d582c5aca7d01b564f2858d7aac7323a42818913a96562,
erie_loc,https://www.eriefamilyhealth.org/locations/,https://www.eriefamilyhealth.org/locations/,2026-09-12,text/html; charset=UTF-8,196607,067b3d448ec84cca5ade0bc2e58ec1775bc7f307c83a5a7d3530e79f4674e4bd,
erie_west,https://www.eriefamilyhealth.org/locations/westside/,https://www.eriefamilyhealth.org/locations/westside/,2026-09-12,text/html; charset=UTF-8,190645,a97401ca27166e92b5eb5f36958d177c783f46c641858e6564cfb73cec01bf7d,
