site_name,sid,school_name,idph_center_name,campus_sids,sponsor_cps,sponsor_idph,setting,match_basis,site_address,school_address,zip,community,ward,lat,lon,idph_certified,cps_listed,hrsa_scope,hrsa_site_num,hrsa_site_name,hrsa_grantee,hrsa_setting_desc,hrsa_site_type,hrsa_status,hrsa_sbhc_subprogram,access_text,open_to_public,hours,phone,coord_basis,cps_status_2025,cps_adjusted_su,cps_colo,manually_verified,review_note,source
Benito Juarez Community Academy High School,609764,Benito Juarez Community Academy High School,Juarez High School SHC,,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+school_name,"1450 West Cermak Rd, Chicago, IL 60608",1450 W CERMAK RD,60608,LOWER WEST SIDE,25,41.8529,-87.66455,true,true,true,BPS-H80-013554,Benito Juarez Community Academy,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon, Wed, Thur: 8:30am-4:30pm",773-254-1400,hrsa_site,Efficient,1.09,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Charles P Steinmetz College Preparatory HS,609732,Charles P Steinmetz College Preparatory HS,Steinmetz SHC,,PCC Community Wellness Center,PCC Community Center Wellness,in_building,cps_school_id+cps_directory_address,"3030 N Mobile Ave, Chicago, IL 60634",3030 N MOBILE AVE,60634,BELMONT CRAGIN,30,41.935603,-87.78434,true,true,true,BPS-H80-015567,PCC Steinmetz Health Center,PCC COMMUNITY WELLNESS CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,"Mon-Fri: 8:00am-5:00pm, Wed (3rd & 4th of the month): 9:00am-5:00pm, Thur: 8:00am-8:00pm (depending on doctor availability) If doctor is not avilable SBHC will close at 5:00pm on Thur.",773-622-5679,hrsa_site,Underutilized,0.67,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Chicago Vocational Career Academy High School,609674,Chicago Vocational Career Academy High School,Chicago Vocational Career Academy SHC,,Chicago Family Health Center,Chicago Family Health Center,in_building,cps_school_id+cps_directory_address,"2100 E 87th St, Chicago, IL 60617",2100 E 87TH ST,60617,AVALON PARK,8,41.737728,-87.572531,true,true,true,BPS-H80-027541,Chicago Family Health Center - CVCA,CHICAGO FAMILY HEALTH CENTER INC,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:30am-5:00pm,773-816-5081,hrsa_site,Underutilized,0.24,0,false,IDPH prints the sponsor on the center-name line and the school on the sponsor line for this entry; transposed here.,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
David G Farragut Career Academy High School,609704,David G Farragut Career Academy High School,Farragut SHC,,Lawndale Christian Health Center,Lawndale Christian Health Center,in_building,cps_school_id+school_name,"2345 S Christiana Ave, Chicago, IL 60623",2345 S CHRISTIANA AVE,60623,SOUTH LAWNDALE,22,41.848326,-87.708367,true,true,true,BPS-H80-001032,LCHC at Farragut Academy,LAWNDALE CHRISTIAN HEALTH CENTER,School,Administrative/Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Monday-Friday: 8:30am-5pm,872-588-3540,hrsa_site,Underutilized,0.26,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Englewood STEM High School,610592,Englewood STEM High School,Mile Square Englewood Stem Health and Wellness SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"6835 S Normal Blvd, Chicago, IL 60621",6835 S NORMAL BLVD,60621,ENGLEWOOD,6,41.769599,-87.6363,true,true,true,BPS-H80-028185,Mile Square Englewood Health and Wellness Center,University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:30pm,312-355-5801,hrsa_site,Underutilized,0.49,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Esperanza at Cultivate Collective,,,,,,,school_linked,unmatched,"4350 S Laporte Ave, Chicago, IL 60638",,60638,,,41.812996,-87.747111,false,false,true,BPS-H80-037254,Esperanza at Cultivate Collective,ESPERANZA HEALTH CENTERS,School,Service Delivery Site,Active,N,,,,,hrsa_site,,,,false,"No CPS school building at this address; the host school, if any, is unresolved",hrsa_il_school_setting@2026-09-11
George Washington Carver Military Academy HS,609760,George Washington Carver Military Academy HS,Carver SHC,,"TCA Health, Inc.","TCA Health, Inc.",in_building,cps_school_id+school_name,"13100 S Doty Ave, Chicago, IL 60827",13100 S DOTY AVE,60827,RIVERDALE,10,41.656525,-87.58933,true,true,true,BPS-H80-002916,"CARVER MILITARY ACADEMY/TCA HLTH,INC","TCA HEALTH, INC. NFP",School,Service Delivery Site,Active,N,Open to Enrolled Students at the School,false,Mon-Wed: 9:00am-1pm,773-535-5357,hrsa_site,Underutilized,0.32,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
Greater Lawndale High School For Social Justice,610383,Greater Lawndale High School For Social Justice,Little Village Lawndale SHC,610383;610384;610385;610392,Alivio Medical Center,Alivio Medical Center,in_building,cps_school_id+cps_directory_address,"3120 S Kostner Ave, Chicago, IL, 60623",3120 S KOSTNER AVE,60623,SOUTH LAWNDALE,22,41.835167,-87.735566,true,true,true,BPS-H80-009457,Little Village Lawndale Community High School Campus,"ALIVIO MEDICAL CENTER, INC",School,Service Delivery Site,Active,N,"Open to Enrolled Students at Infinity HS, Multicultural Arts HS, Little Village HS, World Language HS",false,Mon-Fri: 8:30am-12:00pm; 1:00pm-4:00pm,773-254-1400,hrsa_site,Efficient,0.87,1,false,"4 CPS schools share this building; a center here is a campus asset, not one school's",cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
James Weldon Johnson STEAM Elementary School,610274,James Weldon Johnson STEAM Elementary School,Johnson SHC,,Erie Family Health Centers,Erie Family Health Center,in_building,cps_school_id+school_name,"1420 S Albany Ave, Chicago, IL 60623",1420 S ALBANY AVE,60623,NORTH LAWNDALE,24,41.861116,-87.703417,true,true,true,BPS-H80-012779,Erie Johnson School-Based Health Center,ERIE FAMILY HEALTH CENTER,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:30pm,312-666-3494,hrsa_site,Underutilized,0.38,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
John B Drake Elementary School,609894,John B Drake Elementary School,Drake Elementary SHC,,UI Health,"Board of Trustees, U of I at Chicago",in_building,cps_school_id+cps_directory_address,"2710 S Dearborn St, Chicago, IL 60616",2710 S DEARBORN ST,60616,DOUGLAS,3,41.84347,-87.628733,true,true,true,BPS-H80-027383,Mile Square  Dr. Cynthia Barnes Boyd/Drake Health and Wellness Center,University of Illinois,School,Service Delivery Site,Active,N,Open to the Community: No Restrictions,true,Mon-Fri: 8:00am-4:00pm,312-355-5746,hrsa_site,Underutilized,0.31,0,false,,cps_health_centers_sheet@2026-09-11+cps_schools_geojson_2025@2026-09-11+hrsa_il_school_setting@2026-09-11+idph_shc_certified@2026-09-11
